index,alpha,beta,gamma,u,v,RMSE
0,0.001,0.001,0.001,0.001,0.001,0.38663017749786377
1,0.001,0.001,0.001,0.001,1.0,nan
2,0.001,0.001,0.001,0.001,1000.0,0.37660542130470276
3,0.001,0.001,0.001,1.0,0.001,0.33929023146629333
4,0.001,0.001,0.001,1.0,1.0,0.3241084814071655
5,0.001,0.001,0.001,1.0,1000.0,0.38053029775619507
6,0.001,0.001,0.001,1000.0,0.001,0.3705250918865204
7,0.001,0.001,0.001,1000.0,1.0,0.33571338653564453
8,0.001,0.001,0.001,1000.0,1000.0,0.3856180012226105
9,0.001,0.001,1.0,0.001,0.001,0.40446358919143677
10,0.001,0.001,1.0,0.001,1.0,0.3372206389904022
11,0.001,0.001,1.0,0.001,1000.0,0.350130170583725
12,0.001,0.001,1.0,1.0,0.001,0.3265747129917145
13,0.001,0.001,1.0,1.0,1.0,0.3846246600151062
14,0.001,0.001,1.0,1.0,1000.0,0.3718365430831909
15,0.001,0.001,1.0,1000.0,0.001,0.29172593355178833
16,0.001,0.001,1.0,1000.0,1.0,0.364693820476532
17,0.001,0.001,1.0,1000.0,1000.0,0.3737212121486664
18,0.001,0.001,1000.0,0.001,0.001,0.35238274931907654
19,0.001,0.001,1000.0,0.001,1.0,nan
20,0.001,0.001,1000.0,0.001,1000.0,nan
21,0.001,0.001,1000.0,1.0,0.001,0.37546801567077637
22,0.001,0.001,1000.0,1.0,1.0,0.3830412030220032
23,0.001,0.001,1000.0,1.0,1000.0,0.363414466381073
24,0.001,0.001,1000.0,1000.0,0.001,0.34130221605300903
25,0.001,0.001,1000.0,1000.0,1.0,0.4503127634525299
26,0.001,0.001,1000.0,1000.0,1000.0,0.3737761080265045
27,0.001,1.0,0.001,0.001,0.001,0.4225371181964874
28,0.001,1.0,0.001,0.001,1.0,0.33995291590690613
29,0.001,1.0,0.001,0.001,1000.0,nan
30,0.001,1.0,0.001,1.0,0.001,0.4657699465751648
31,0.001,1.0,0.001,1.0,1.0,0.41257286071777344
32,0.001,1.0,0.001,1.0,1000.0,0.37198880314826965
33,0.001,1.0,0.001,1000.0,0.001,0.46026113629341125
34,0.001,1.0,0.001,1000.0,1.0,0.4887396991252899
35,0.001,1.0,0.001,1000.0,1000.0,0.3660322427749634
36,0.001,1.0,1.0,0.001,0.001,0.3827410340309143
37,0.001,1.0,1.0,0.001,1.0,nan
38,0.001,1.0,1.0,0.001,1000.0,0.37842532992362976
39,0.001,1.0,1.0,1.0,0.001,0.4578492343425751
40,0.001,1.0,1.0,1.0,1.0,0.43232959508895874
41,0.001,1.0,1.0,1.0,1000.0,0.37261903285980225
42,0.001,1.0,1.0,1000.0,0.001,0.4725503623485565
43,0.001,1.0,1.0,1000.0,1.0,0.4905184805393219
44,0.001,1.0,1.0,1000.0,1000.0,0.3627782166004181
45,0.001,1.0,1000.0,0.001,0.001,0.4042470157146454
46,0.001,1.0,1000.0,0.001,1.0,0.3912660777568817
47,0.001,1.0,1000.0,0.001,1000.0,0.34607914090156555
48,0.001,1.0,1000.0,1.0,0.001,0.4477985203266144
49,0.001,1.0,1000.0,1.0,1.0,0.40845349431037903
50,0.001,1.0,1000.0,1.0,1000.0,0.3606383502483368
51,0.001,1.0,1000.0,1000.0,0.001,0.4020412266254425
52,0.001,1.0,1000.0,1000.0,1.0,0.466592937707901
53,0.001,1.0,1000.0,1000.0,1000.0,0.40694740414619446
54,0.001,1000.0,0.001,0.001,0.001,0.40761834383010864
55,0.001,1000.0,0.001,0.001,1.0,nan
56,0.001,1000.0,0.001,0.001,1000.0,0.3498516082763672
57,0.001,1000.0,0.001,1.0,0.001,0.39312127232551575
58,0.001,1000.0,0.001,1.0,1.0,0.37381550669670105
59,0.001,1000.0,0.001,1.0,1000.0,nan
60,0.001,1000.0,0.001,1000.0,0.001,0.46586570143699646
61,0.001,1000.0,0.001,1000.0,1.0,0.44926977157592773
62,0.001,1000.0,0.001,1000.0,1000.0,0.38007622957229614
63,0.001,1000.0,1.0,0.001,0.001,0.33855140209198
64,0.001,1000.0,1.0,0.001,1.0,0.33768409490585327
65,0.001,1000.0,1.0,0.001,1000.0,0.361256867647171
66,0.001,1000.0,1.0,1.0,0.001,0.4506576657295227
67,0.001,1000.0,1.0,1.0,1.0,0.4004346430301666
68,0.001,1000.0,1.0,1.0,1000.0,0.3565206527709961
69,0.001,1000.0,1.0,1000.0,0.001,0.4423096179962158
70,0.001,1000.0,1.0,1000.0,1.0,0.4443148970603943
71,0.001,1000.0,1.0,1000.0,1000.0,0.3293527066707611
72,0.001,1000.0,1000.0,0.001,0.001,0.34002965688705444
73,0.001,1000.0,1000.0,0.001,1.0,0.3810420334339142
74,0.001,1000.0,1000.0,0.001,1000.0,0.4084760546684265
75,0.001,1000.0,1000.0,1.0,0.001,0.4468522369861603
76,0.001,1000.0,1000.0,1.0,1.0,nan
77,0.001,1000.0,1000.0,1.0,1000.0,0.36206796765327454
78,0.001,1000.0,1000.0,1000.0,0.001,0.42345094680786133
79,0.001,1000.0,1000.0,1000.0,1.0,0.4360508620738983
80,0.001,1000.0,1000.0,1000.0,1000.0,0.3744151294231415
81,1.0,0.001,0.001,0.001,0.001,0.4163786470890045
82,1.0,0.001,0.001,0.001,1.0,0.36636942625045776
83,1.0,0.001,0.001,0.001,1000.0,nan
84,1.0,0.001,0.001,1.0,0.001,0.3913332521915436
85,1.0,0.001,0.001,1.0,1.0,0.382011353969574
86,1.0,0.001,0.001,1.0,1000.0,0.3546835482120514
87,1.0,0.001,0.001,1000.0,0.001,0.39306482672691345
