index,alpha,beta,gamma,u,v,RMSE
0,0.001,0.001,0.001,0.001,0.001,0.2954541742801666
1,0.001,0.001,0.001,0.001,1.0,0.3243881165981293
2,0.001,0.001,0.001,0.001,1000.0,0.3863830864429474
3,0.001,0.001,0.001,1.0,0.001,0.3833693265914917
4,0.001,0.001,0.001,1.0,1.0,0.3571317195892334
5,0.001,0.001,0.001,1.0,1000.0,0.36198869347572327
6,0.001,0.001,0.001,1000.0,0.001,0.3142108619213104
7,0.001,0.001,0.001,1000.0,1.0,0.45746123790740967
8,0.001,0.001,0.001,1000.0,1000.0,0.3662368655204773
9,0.001,0.001,1.0,0.001,0.001,0.4324488639831543
10,0.001,0.001,1.0,0.001,1.0,0.3482242524623871
11,0.001,0.001,1.0,0.001,1000.0,0.3145208954811096
12,0.001,0.001,1.0,1.0,0.001,0.36218440532684326
13,0.001,0.001,1.0,1.0,1.0,0.3918555676937103
14,0.001,0.001,1.0,1.0,1000.0,0.33637550473213196
15,0.001,0.001,1.0,1000.0,0.001,0.3469046652317047
16,0.001,0.001,1.0,1000.0,1.0,0.31278347969055176
17,0.001,0.001,1.0,1000.0,1000.0,0.3236376941204071
18,0.001,0.001,1000.0,0.001,0.001,0.3221187889575958
19,0.001,0.001,1000.0,0.001,1.0,0.3423798382282257
20,0.001,0.001,1000.0,0.001,1000.0,0.4011998772621155
21,0.001,0.001,1000.0,1.0,0.001,0.39201879501342773
22,0.001,0.001,1000.0,1.0,1.0,0.3743925988674164
23,0.001,0.001,1000.0,1.0,1000.0,0.32089367508888245
24,0.001,0.001,1000.0,1000.0,0.001,0.3309031128883362
25,0.001,0.001,1000.0,1000.0,1.0,0.3119927644729614
26,0.001,0.001,1000.0,1000.0,1000.0,0.2652321457862854
27,0.001,1.0,0.001,0.001,0.001,0.3286367356777191
28,0.001,1.0,0.001,0.001,1.0,0.2992118000984192
29,0.001,1.0,0.001,0.001,1000.0,0.4157908856868744
30,0.001,1.0,0.001,1.0,0.001,0.34793394804000854
31,0.001,1.0,0.001,1.0,1.0,0.32138168811798096
32,0.001,1.0,0.001,1.0,1000.0,0.3423483669757843
33,0.001,1.0,0.001,1000.0,0.001,0.3395264744758606
34,0.001,1.0,0.001,1000.0,1.0,0.2918394207954407
35,0.001,1.0,0.001,1000.0,1000.0,0.3524579107761383
36,0.001,1.0,1.0,0.001,0.001,0.3330879509449005
37,0.001,1.0,1.0,0.001,1.0,0.40863433480262756
38,0.001,1.0,1.0,0.001,1000.0,0.31545591354370117
39,0.001,1.0,1.0,1.0,0.001,0.3198114335536957
40,0.001,1.0,1.0,1.0,1.0,0.2972548007965088
41,0.001,1.0,1.0,1.0,1000.0,0.3379822075366974
42,0.001,1.0,1.0,1000.0,0.001,0.3263154923915863
43,0.001,1.0,1.0,1000.0,1.0,0.30747127532958984
44,0.001,1.0,1.0,1000.0,1000.0,0.31775251030921936
45,0.001,1.0,1000.0,0.001,0.001,0.29984572529792786
46,0.001,1.0,1000.0,0.001,1.0,0.42124423384666443
47,0.001,1.0,1000.0,0.001,1000.0,0.4025416374206543
48,0.001,1.0,1000.0,1.0,0.001,0.3312655985355377
49,0.001,1.0,1000.0,1.0,1.0,0.38850733637809753
50,0.001,1.0,1000.0,1.0,1000.0,0.34989917278289795
51,0.001,1.0,1000.0,1000.0,0.001,0.3635598123073578
52,0.001,1.0,1000.0,1000.0,1.0,0.3523704707622528
53,0.001,1.0,1000.0,1000.0,1000.0,0.3170393407344818
54,0.001,1000.0,0.001,0.001,0.001,0.36784204840660095
55,0.001,1000.0,0.001,0.001,1.0,0.36379092931747437
56,0.001,1000.0,0.001,0.001,1000.0,0.3893427550792694
57,0.001,1000.0,0.001,1.0,0.001,0.2967308461666107
58,0.001,1000.0,0.001,1.0,1.0,0.32404741644859314
59,0.001,1000.0,0.001,1.0,1000.0,0.3152180314064026
60,0.001,1000.0,0.001,1000.0,0.001,0.2930300831794739
61,0.001,1000.0,0.001,1000.0,1.0,0.3252478241920471
62,0.001,1000.0,0.001,1000.0,1000.0,0.37554699182510376
63,0.001,1000.0,1.0,0.001,0.001,0.39258986711502075
64,0.001,1000.0,1.0,0.001,1.0,0.3747827708721161
65,0.001,1000.0,1.0,0.001,1000.0,0.2870296239852905
66,0.001,1000.0,1.0,1.0,0.001,0.3240474760532379
67,0.001,1000.0,1.0,1.0,1.0,0.3487757742404938
68,0.001,1000.0,1.0,1.0,1000.0,0.34970059990882874
69,0.001,1000.0,1.0,1000.0,0.001,0.300883948802948
70,0.001,1000.0,1.0,1000.0,1.0,0.29391753673553467
71,0.001,1000.0,1.0,1000.0,1000.0,0.363342821598053
72,0.001,1000.0,1000.0,0.001,0.001,0.25065118074417114
73,0.001,1000.0,1000.0,0.001,1.0,0.3612445890903473
74,0.001,1000.0,1000.0,0.001,1000.0,0.3331454396247864
75,0.001,1000.0,1000.0,1.0,0.001,0.28940144181251526
76,0.001,1000.0,1000.0,1.0,1.0,0.3174726963043213
77,0.001,1000.0,1000.0,1.0,1000.0,0.37593168020248413
78,0.001,1000.0,1000.0,1000.0,0.001,0.34026846289634705
